Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
64,-4.78125,-5.3784375,-6.1875,2.3125,2.1115625,2.015625
65,-3.671875,-4.12,-4.9375,2.1875,2.074296875,2.0
66,-4.3125,-4.778046875,-5.375,2.3125,2.099765625,2.015625
67,-4.328125,-4.73,-5.671875,2.40625,2.136484375,2.015625
68,-4.203125,-4.671328125,-5.296875,2.359375,2.11328125,2.0
69,-4.609375,-4.97078125,-5.734375,2.34375,2.137578125,2.015625
70,-4.578125,-4.870703125,-5.5,2.375,2.12015625,2.015625
71,-4.140625,-4.60140625,-5.171875,2.359375,2.14125,2.03125
72,-3.53125,-3.856640625,-4.46875,2.34375,2.107578125,2.0
73,-4.796875,-5.15578125,-5.75,2.390625,2.13578125,2.0
74,-5.265625,-5.7090625,-6.0,2.296875,2.17515625,2.078125
75,-3.71875,-4.028984375,-4.5,2.421875,2.201875,2.078125
76,-4.140625,-4.5446875,-5.25,2.4375,2.22875,2.09375
77,-4.078125,-4.46125,-4.96875,2.421875,2.173671875,2.03125
78,-4.21875,-4.59140625,-5.078125,2.609375,2.256640625,2.09375
79,-4.625,-5.0221875,-5.71875,2.296875,2.12171875,2.015625
80,-4.8125,-5.2240625,-5.796875,2.5625,2.222734375,2.046875
81,-3.859375,-4.386484375,-5.140625,2.5625,2.2353125,2.0625
82,-4.09375,-4.6178125,-5.25,2.390625,2.207890625,2.078125
83,-4.546875,-5.105390625,-5.890625,2.453125,2.203515625,2.0625
84,-4.0625,-4.49375,-5.21875,2.34375,2.141953125,2.03125
85,-4.5,-4.85796875,-5.390625,2.328125,2.13640625,2.015625
86,-3.296875,-3.693203125,-4.390625,2.53125,2.221796875,2.0625
87,-4.34375,-4.78734375,-5.421875,2.34375,2.182421875,2.0625
88,-4.046875,-4.618125,-5.375,2.5,2.1784375,2.03125
89,-5.0625,-5.479140625,-6.1875,2.34375,2.13484375,2.015625
90,-3.6875,-4.17515625,-4.8125,2.328125,2.154453125,2.03125
91,-3.875,-4.24125,-4.765625,2.296875,2.1321875,2.015625
92,-3.703125,-4.019375,-4.625,2.28125,2.125,2.015625
93,-3.546875,-3.95609375,-4.46875,2.21875,2.083984375,2.03125
94,-4.046875,-4.43953125,-4.96875,2.34375,2.166875,2.03125
95,-4.265625,-4.773984375,-5.390625,2.34375,2.163359375,2.03125
96,-4.046875,-4.52390625,-5.578125,2.390625,2.19390625,2.046875
97,-3.96875,-4.3653125,-5.03125,2.359375,2.16296875,2.046875
98,-4.265625,-4.72828125,-5.3125,2.484375,2.2065625,2.0625
99,-4.6875,-5.3015625,-6.125,2.578125,2.20890625,2.015625
100,-4.25,-4.649296875,-5.578125,2.390625,2.1440625,2.015625
