Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
367,-14.159156495936783,-15.916565081691639,-20.27459225636174,3.671875,2.59765625,2.015625
368,-12.511135253703758,-14.395181129192988,-19.66500835763793,3.265625,2.6353125,2.03125
369,-13.882319217682175,-15.377014714553885,-22.51509753776254,3.671875,2.765416666666667,2.078125
370,-11.887217941212482,-13.248683668143142,-17.90843977923223,3.84375,2.7110416666666666,2.015625
371,-10.097344711398746,-11.429743197957217,-14.98458171020741,3.828125,2.7020833333333334,2.125
372,-12.181215853962748,-13.761472030116243,-18.633922241016773,4.171875,2.5610416666666667,2.0
373,-11.82884741689554,-13.47530618953043,-27.539347573122885,4.796875,2.5972916666666666,2.015625
374,-11.266643833320755,-13.472449268798679,-16.801742495078837,3.265625,2.6127604166666667,2.03125
375,-11.61956268460595,-13.394210125175675,-23.26060580755137,3.46875,2.6818229166666665,2.015625
376,-10.004374237957645,-12.0808077846518,-18.69511461960623,3.609375,2.593958333333333,2.046875
377,-10.371504004934696,-12.179890802823195,-21.833443241683597,4.171875,2.679895833333333,2.0625
378,-11.737755379477093,-13.542525531030284,-18.55503942088478,3.375,2.550104166666667,2.0
379,-11.030502976939017,-13.423944077886528,-20.124079582911733,3.703125,2.67515625,2.0
380,-11.05289693911935,-12.753606871780981,-19.754386260646438,3.84375,2.731145833333333,2.03125
381,-12.745188800281847,-14.816509067713657,-21.01022954547643,3.5625,2.7050520833333334,2.171875
382,-12.848724808107242,-14.276009297954403,-22.62805416317157,4.28125,2.7802083333333334,2.046875
383,-11.333880863276168,-12.915130794068698,-16.323135842512546,3.84375,2.548489583333333,2.03125
384,-12.062833068478724,-13.896106177636941,-21.88474257775019,4.0625,2.5844270833333334,2.03125
385,-11.196936932555603,-13.364330513461129,-20.721700385118496,3.5625,2.657864583333333,2.0625
386,-12.804809848904616,-14.866588254067189,-23.063043337380012,3.6875,2.5454166666666667,2.0
387,-12.812455314783344,-14.565550747875948,-20.33411482443421,3.390625,2.534010416666667,2.0
388,-11.199653232539276,-12.5703125323022,-16.454396610157325,3.65625,2.6389583333333335,2.0
389,-9.443496065840785,-11.012847179260557,-15.968388888757124,3.796875,2.7348958333333333,2.03125
390,-11.266106765762602,-12.601222151034078,-18.249462876124642,4.546875,2.7622916666666666,2.015625
391,-16.52450147515713,-17.91523697732411,-21.248256065032415,3.5625,2.675625,2.0
392,-12.081093408117242,-13.919120657156794,-26.210914111888588,4.75,2.734114583333333,2.0625
393,-11.7848231642632,-13.520440407529653,-17.962743056624856,3.78125,2.6640625,2.015625
394,-11.765515574505637,-13.55720902521993,-22.211555252885848,3.671875,2.723802083333333,2.0
395,-10.843616662987257,-12.5506000554134,-15.573264805912826,4.609375,2.65640625,2.015625
396,-13.32064175114471,-15.231995056806497,-22.85769868004579,3.75,2.6880208333333333,2.03125
397,-15.947961265144462,-17.68518409504679,-24.064251293008127,3.359375,2.7902604166666665,2.078125
398,-10.294532982842794,-12.079655915213197,-15.270371499558236,3.34375,2.6391145833333334,2.015625
399,-11.386443445581598,-13.812948406312971,-24.0451125075753,3.859375,2.77984375,2.109375
400,-11.452348508641824,-13.46165749700544,-23.317019496263796,3.78125,2.6960416666666664,2.078125
401,-14.792295619901681,-16.61032322479396,-24.808093016838583,3.578125,2.58953125,2.0
402,-12.7297630448771,-14.378326511604916,-20.10111174005039,3.8125,2.7044270833333335,2.03125
403,-12.724423793133994,-14.554314294497772,-17.796605241849015,3.59375,2.7015625,2.109375
404,-11.433681980754992,-13.161824373901265,-17.1002853965514,3.984375,2.767708333333333,2.0625
405,-13.767348446759096,-16.06235611707089,-21.51569825807538,3.390625,2.6660416666666666,2.015625
406,-11.82031591203733,-13.719835665473301,-17.586773384444097,3.984375,2.7383854166666666,2.046875
407,-10.668987304648304,-12.587066343565088,-18.127990249439215,3.34375,2.6306770833333335,2.046875
408,-12.914170677012086,-14.544758052830442,-20.49970071459957,3.84375,2.7092708333333335,2.015625
409,-12.327199388084466,-14.051126109231689,-28.16177587030476,3.84375,2.728645833333333,2.046875
410,-11.607208906115476,-13.584784529351214,-19.046234090361555,3.828125,2.6825,2.015625
411,-9.201097841507696,-11.302908470406642,-24.269792680044183,3.46875,2.70609375,2.046875
412,-13.422672911911667,-14.919244479056651,-24.052310185532225,3.53125,2.67578125,2.015625
413,-13.191582559209614,-14.956824291909625,-21.970941248225728,3.515625,2.6946875,2.0
414,-14.790350067098135,-16.300234625346686,-20.098555355227454,3.421875,2.652083333333333,2.046875
415,-9.120204649159106,-10.373554204990894,-17.157809897994497,3.59375,2.7409375,2.046875
416,-11.60648904512802,-14.086128345838825,-18.81703700589902,3.328125,2.6315625,2.0625
417,-12.825838452166499,-14.38166518981224,-19.00455225107974,4.234375,2.693020833333333,2.09375
418,-11.239271624437407,-13.556904653195906,-16.606236993250047,3.3125,2.6464583333333334,2.015625
419,-11.290169716350174,-13.614887899864165,-19.182100396112173,4.078125,2.6733333333333333,2.125
420,-11.982993073810086,-13.634876156218636,-21.174641220226036,3.6875,2.67375,2.046875
421,-12.151673849462318,-13.830000969333708,-17.803766215325933,3.78125,2.708177083333333,2.078125
422,-10.336677657461541,-12.4471482808813,-16.126451763456878,3.6875,2.72890625,2.09375
423,-12.06390830706405,-13.790546472891444,-21.67101858303841,4.015625,2.7331770833333335,2.015625
424,-12.269144137539403,-14.112022298266782,-25.641095593365964,3.875,2.551927083333333,2.046875
425,-11.322970378712506,-12.974039189655684,-19.24324411119153,3.46875,2.6903125,2.078125
426,-16.664958744317865,-18.004658470703593,-22.00297246832046,3.640625,2.70328125,2.015625
427,-13.693303471171589,-14.80116611684671,-18.664630398460325,3.78125,2.7891666666666666,2.0625
428,-12.486898537111578,-14.149315666293779,-21.893892694809445,4.5625,2.5997916666666665,2.03125
429,-10.700603797583215,-11.805727142666388,-14.736210950425283,3.375,2.711197916666667,2.09375
430,-9.276537908959538,-10.632337125974919,-15.855899641573997,4.078125,2.6972916666666666,2.015625
431,-13.006071266644994,-15.237758210066294,-25.09966385935696,3.5625,2.6211458333333333,2.015625
432,-12.787772592204831,-14.06273950715044,-17.72635668843057,3.28125,2.696875,2.078125
433,-14.697187665986577,-15.624842541626316,-17.80288979276961,3.125,2.53125,2.03125
434,-12.842100954636084,-14.248259538158912,-25.91349095751078,3.765625,2.733697916666667,2.0
435,-9.132404985381218,-10.786160262431881,-17.39176765797703,3.203125,2.45515625,2.0
436,-11.096714747394218,-13.035407914143956,-17.77500801741578,3.421875,2.527604166666667,2.046875
437,-9.803702313529365,-11.541795572254053,-17.630888437255507,3.28125,2.599479166666667,2.046875
438,-13.714006973470571,-15.366005428058546,-21.720494375832036,3.484375,2.6283854166666667,2.015625
439,-9.48566524679819,-11.069712626857768,-15.391339359747686,3.484375,2.6483333333333334,2.046875
440,-11.884419103868671,-13.555452898764454,-23.884302798019515,3.171875,2.5655729166666665,2.078125
441,-14.298398828375765,-15.971203955609733,-29.2737390252714,3.984375,2.6488020833333334,2.15625
442,-11.248733056920312,-13.01898981308392,-21.873008948613172,3.3125,2.6238020833333335,2.09375
443,-12.418778892646644,-14.307381869655785,-17.85091946248353,3.234375,2.691145833333333,2.09375
444,-13.920033077784826,-15.43843938508444,-18.55271041471248,3.4375,2.6966666666666668,2.046875
445,-15.507180953033455,-17.52760531883969,-22.037362920759833,3.4375,2.6441666666666666,2.0
446,-13.606841579903305,-15.340207215173228,-29.039673001354526,3.984375,2.6970833333333335,2.046875
447,-12.309919770280358,-14.076080464299057,-17.825484776955008,3.125,2.5594791666666667,2.0
448,-12.35638619906451,-14.076280107126147,-19.60269844594571,3.65625,2.72609375,2.078125
449,-11.752862397919076,-13.823710282963965,-20.962147515419797,3.140625,2.61515625,2.03125
450,-9.462362392103692,-11.085961175781057,-18.274253448980577,3.359375,2.6016666666666666,2.015625
451,-14.651744541936813,-15.845555496965911,-20.32608498537522,3.765625,2.637864583333333,2.125
452,-13.60338537512437,-15.018344525161353,-23.826299849095868,4.4375,2.5488020833333334,2.0
453,-12.450504192247971,-14.074068384635796,-19.838620585416653,3.265625,2.645,2.0625
454,-11.837172220951668,-13.733399084923803,-19.304203065395892,3.75,2.67125,2.21875
455,-13.416176309155777,-15.06826189352038,-19.134372408548828,3.859375,2.5909375,2.0625
456,-12.344733545515629,-13.829356709703992,-19.54287582669567,3.953125,2.786875,2.203125
457,-11.811839045484488,-13.310924763521614,-25.450128356461875,4.34375,2.7427604166666666,2.171875
458,-11.116118366758663,-12.461723763371623,-16.277904210944083,3.5625,2.672083333333333,2.03125
459,-11.5764476326466,-13.235460377984204,-30.98638732124059,4.90625,2.754166666666667,2.015625
460,-13.959462049172567,-15.27379130696559,-19.364617979313717,3.28125,2.7809375,2.0625
461,-9.645535993317209,-11.77653996822526,-19.543680891077365,3.484375,2.639010416666667,2.0625
462,-11.43461319737255,-12.891458218117235,-18.225676256006743,3.265625,2.7096875,2.25
463,-12.97316210764911,-14.33880228759041,-17.62342872825539,3.34375,2.7370833333333335,2.125
464,-14.503100969643919,-15.743091571064998,-29.86303706775411,4.890625,2.6059895833333333,2.03125
465,-10.003663594827882,-11.580257893629712,-19.10515659447791,3.71875,2.6288020833333334,2.125
466,-10.399243605576595,-12.146948799115654,-21.11663641183229,3.328125,2.6226041666666666,2.09375
467,-12.987343120631262,-14.656163491806076,-18.122884526521545,3.359375,2.7013541666666665,2.078125
468,-11.054938820745717,-12.83689160948728,-16.24953290484628,3.125,2.6102604166666667,2.03125
469,-13.125070309632259,-14.618906235804104,-17.617880793395074,3.46875,2.6207291666666666,2.0
470,-9.133006253275749,-10.365903215207188,-13.988195266335245,3.125,2.62796875,2.1875
471,-9.615546181309679,-10.691926715112004,-21.839894358913348,3.25,2.6215625,2.0625
472,-10.49070134823167,-11.890384583958921,-20.74261845402157,3.328125,2.743802083333333,2.03125
473,-12.330746091548608,-14.34881405753263,-21.17603212165189,3.53125,2.634895833333333,2.09375
474,-11.6245798921475,-13.441281183361404,-22.009359445612425,3.296875,2.6285416666666666,2.03125
475,-8.9832992098447,-10.555426093646803,-16.56911752467868,3.515625,2.67953125,2.21875
476,-10.622024252583586,-12.104381952048476,-16.564270096745663,3.03125,2.599947916666667,2.03125
477,-9.564910149550267,-10.760518571574634,-14.507082251008205,3.046875,2.5486458333333335,2.0625
478,-13.890737353639421,-15.184570689846744,-22.957029449839496,3.1875,2.715625,2.03125
479,-14.003284176093164,-15.361883448576863,-20.969946846568135,3.046875,2.6996875,2.125
480,-12.514466703207948,-14.484198172178385,-18.71621669351746,3.296875,2.7846354166666667,2.140625
481,-13.888447771500658,-15.115375867870497,-21.394037872531758,3.375,2.7942708333333335,2.21875
482,-11.243333114191184,-12.643623517197643,-16.367105491669335,3.21875,2.6334375,2.1875
483,-14.433956082978966,-15.588123412805068,-30.062590324198382,4.609375,2.796614583333333,2.140625
484,-13.975474661160959,-16.11079954676696,-25.984288337328024,4.078125,2.71015625,2.109375
485,-14.96402050577753,-16.97487404274074,-31.054288854248004,4.640625,2.666822916666667,2.078125
486,-13.568481214537682,-15.052362511856957,-20.610103477449965,3.75,2.7738020833333334,2.21875
487,-13.224274465231458,-14.405762995635323,-19.001609244309137,3.28125,2.6915625,2.09375
488,-13.366173158712176,-14.866270064725803,-27.606916199669406,4.046875,2.7549479166666666,2.109375
489,-14.340345172373624,-15.75065458943894,-21.534220107823593,3.734375,2.7192708333333333,2.15625
490,-11.811505989299391,-13.149914703388871,-23.668402894131745,3.453125,2.5936458333333334,2.125
491,-13.585613075070906,-14.770734071039406,-25.11554973779412,3.140625,2.6738020833333334,2.046875
492,-10.01178984313561,-11.350426402010731,-15.530614830979605,3.203125,2.6859895833333334,2.0
493,-14.13247865334377,-15.420780561868284,-20.261447508700343,3.21875,2.7330729166666665,2.171875
494,-13.356656406733181,-14.828257676269214,-22.69437950432928,3.59375,2.797135416666667,2.1875
495,-14.12465200820022,-16.483200813185032,-24.37535529202449,3.90625,2.6665625,2.109375
496,-11.754031670306867,-13.356920217387875,-19.04917285768322,3.515625,2.6696875,2.171875
497,-12.256892134866083,-13.745402806780326,-24.338078606671065,3.703125,2.59640625,2.046875
498,-11.127069408370911,-12.369435711644863,-16.474560241427426,3.640625,2.7551041666666665,2.015625
499,-9.343418992843933,-10.911800131103917,-16.867717383529925,3.4375,2.5625520833333333,2.046875
500,-12.110143455163758,-13.440280370997868,-17.553118760260276,3.328125,2.6529166666666666,2.109375
501,-14.717104802209384,-15.970291095734167,-24.767454523195514,4.21875,2.5904166666666666,2.0625
502,-12.294622098800625,-13.559469284200866,-17.640273224882556,3.296875,2.5795833333333333,2.125
503,-11.999506590008721,-13.1784817900093,-22.91332583792636,3.609375,2.5433854166666667,2.078125
504,-11.37027634326442,-12.80465843082301,-19.47590722470357,3.328125,2.6652604166666665,2.125
505,-13.963959331854452,-15.528534926267685,-23.872743555420435,4.296875,2.80953125,2.3125
506,-13.239987599940822,-14.561741875057908,-21.806434048277033,4.203125,2.6904166666666667,2.171875
507,-10.608983112960546,-11.970707923074643,-32.93623205598283,4.9375,2.6485416666666666,2.046875
508,-9.857137428907498,-11.52177705233785,-22.709785711090888,4.0625,2.7797395833333334,2.34375
509,-12.545333048748796,-14.179138486989944,-27.04659345092973,3.9375,2.75640625,2.25
510,-11.316228294014442,-13.078023690245361,-23.957603208527388,4.75,2.7174479166666665,2.203125
511,-13.687234708611925,-15.79154165554382,-23.405176804617266,3.96875,2.78109375,2.140625
512,-11.451646345318132,-13.125097806252876,-21.917585946667366,3.796875,2.7316666666666665,2.1875
513,-9.929787813894022,-11.694357297781709,-21.59769084008725,3.96875,2.74171875,2.140625
514,-12.53287520824652,-13.714673993138804,-30.06059682316242,4.296875,2.7726041666666665,2.171875
515,-14.91993552757102,-16.421171685695043,-22.384551002941922,3.421875,2.6742708333333334,2.0625
516,-11.152577071084757,-12.716692037393361,-22.289174053276355,4.1875,2.6726041666666664,2.1875
517,-9.063522640427687,-10.855485307828443,-15.739507354864823,4.421875,2.6448958333333334,2.09375
518,-11.670186088938868,-12.79921104390632,-28.516444286764774,4.6875,2.740104166666667,2.15625
519,-11.381544001787947,-12.824070258845767,-17.85315599228524,3.078125,2.57484375,2.046875
520,-11.54658174052702,-12.570684196079732,-18.348346195128634,3.359375,2.6721875,2.125
521,-11.402397923059363,-12.679046079684351,-15.95541131343791,3.28125,2.6571354166666667,2.09375
522,-10.917858709696368,-12.534880432348567,-18.54773726562358,3.703125,2.7157291666666667,2.125
523,-11.247571500187027,-13.007866090392167,-17.659351098145464,3.21875,2.6979166666666665,2.28125
524,-14.682036222059871,-15.929714703218922,-18.98949347992435,3.640625,2.7416145833333334,2.234375
525,-11.800167551588018,-12.985872529706297,-16.670383404777766,3.25,2.695989583333333,2.25
526,-12.674230397674833,-13.727946181010468,-16.76974652729874,3.1875,2.6761979166666667,2.0625
